vaccine_group_name,vaccine_code
Pfizer First Dose,0001A
Pfizer First Dose,91300
Pfizer First Dose,5926710001
Pfizer First Dose,59267100001
Pfizer First Dose,59267100002
Pfizer First Dose,59267100003
Pfizer Second Dose,0002A
Pfizer Second Dose,91300
Pfizer Second Dose,5926710001
Pfizer Second Dose,59267100001
Pfizer Second Dose,59267100002
Pfizer Second Dose,59267100003
Moderna First Dose,0011A
Moderna First Dose,91301
Moderna First Dose,8077727310
Moderna First Dose,80777027310
Moderna First Dose,80777027399
Moderna Second Dose,0012A
Moderna Second Dose,91301
Moderna Second Dose,8077727310
Moderna Second Dose,80777027310
Moderna Second Dose,80777027399
Janssen,91303
Janssen,0031A
Janssen,59676058005
Janssen,59676058015
